hdop,satellites,vibration_x,gps_trust_score,action_taken,scenario
3.09,8,0.64,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.1,20,0.419,0.8325,CAUTION,Good_GPS
3.44,7,0.486,0.37,SWITCH_TO_NON_GPS,Poor_GPS
1.11,21,0.456,0.8325,CAUTION,Good_GPS
2.58,14,0.427,0.5525,CAUTION,Poor_GPS
2.66,8,0.72,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
1.77,7,0.832,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.44,9,0.777,0.5225,SWITCH_TO_NON_GPS,Good_GPS
1.42,16,0.368,0.73,CAUTION,Good_GPS
3.35,6,0.303,0.3,SWITCH_TO_NON_GPS,Poor_GPS
0.78,9,0.389,0.685,CAUTION,Good_GPS
2.98,16,0.63,0.59,CAUTION,Poor_GPS
2.06,19,0.304,0.64,CAUTION,Medium_GPS
1.36,21,0.217,0.765,CAUTION,Good_GPS
3.3,20,0.415,0.5625,CAUTION,Poor_GPS
2.32,21,0.466,0.675,CAUTION,Medium_GPS
2.16,11,0.411,0.5525,CAUTION,Medium_GPS
3.49,10,0.334,0.44,SWITCH_TO_NON_GPS,Poor_GPS
0.94,20,0.285,0.8325,CAUTION,Good_GPS
1.69,22,0.332,0.765,CAUTION,Medium_GPS
3.37,21,0.033,0.6025,CAUTION,Poor_GPS
1.63,20,0.278,0.765,CAUTION,Medium_GPS
1.58,8,0.201,0.5725,CAUTION,Medium_GPS
1.4,15,0.525,0.68,CAUTION,Good_GPS
1.78,16,0.34,0.73,CAUTION,Medium_GPS
1.74,8,0.418,0.5725,CAUTION,Medium_GPS
1.62,10,0.621,0.5925,CAUTION,Medium_GPS
0.91,12,0.199,0.75,CAUTION,Good_GPS
2.68,12,0.108,0.5925,CAUTION,Poor_GPS
1.05,13,0.269,0.71,CAUTION,Good_GPS
0.86,14,0.125,0.75,CAUTION,Good_GPS
1.92,6,0.385,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
0.89,10,0.189,0.75,CAUTION,Good_GPS
1.75,14,0.252,0.6425,CAUTION,Medium_GPS
0.53,9,0.07,0.725,CAUTION,Good_GPS
2.33,15,0.301,0.64,CAUTION,Medium_GPS
2.08,20,0.369,0.675,CAUTION,Medium_GPS
1.34,13,0.182,0.6825,CAUTION,Good_GPS
2.91,11,0.009,0.5925,CAUTION,Poor_GPS
1.73,15,0.574,0.68,CAUTION,Medium_GPS
2.01,19,0.639,0.59,CAUTION,Medium_GPS
3.34,21,0.244,0.5625,CAUTION,Poor_GPS
2.62,11,0.141,0.5925,CAUTION,Poor_GPS
3.43,6,0.596,0.25,SWITCH_TO_NON_GPS,Poor_GPS
1.03,13,0.106,0.75,CAUTION,Good_GPS
2.5,13,0.139,0.5925,CAUTION,Poor_GPS
1.89,22,0.311,0.765,CAUTION,Medium_GPS
2.0,22,0.696,0.625,CAUTION,Medium_GPS
2.74,21,0.306,0.675,CAUTION,Poor_GPS
1.22,20,0.036,0.805,CAUTION,Good_GPS
1.11,6,0.311,0.57,CAUTION,Good_GPS
1.84,17,0.478,0.73,CAUTION,Medium_GPS
0.55,18,0.689,0.7925,CAUTION,Good_GPS
3.26,16,0.189,0.5675,CAUTION,Poor_GPS
3.49,17,0.556,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.62,13,0.287,0.6425,CAUTION,Medium_GPS
3.16,22,0.259,0.5625,CAUTION,Poor_GPS
1.16,19,0.09,0.8375,CAUTION,Good_GPS
3.0,9,0.568,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.6,12,0.058,0.6825,CAUTION,Medium_GPS
1.41,11,0.108,0.6825,CAUTION,Good_GPS
1.28,16,0.073,0.77,CAUTION,Good_GPS
2.86,6,0.231,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
0.98,17,0.095,0.8375,CAUTION,Good_GPS
2.5,11,0.199,0.5925,CAUTION,Poor_GPS
1.57,8,0.309,0.5725,CAUTION,Medium_GPS
0.65,22,0.454,0.8775,GPS_OK,Excellent_GPS
2.44,9,0.667,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
1.63,16,0.694,0.68,CAUTION,Medium_GPS
1.35,10,0.116,0.6825,CAUTION,Good_GPS
0.76,21,0.259,0.8775,GPS_OK,Excellent_GPS
0.64,15,0.471,0.8425,CAUTION,Good_GPS
2.01,9,0.201,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
2.07,13,0.565,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.03,12,0.439,0.5525,CAUTION,Medium_GPS
2.72,16,0.243,0.64,CAUTION,Poor_GPS
0.66,16,0.253,0.8425,CAUTION,Good_GPS
1.42,16,0.16,0.77,CAUTION,Good_GPS
2.91,18,0.018,0.68,CAUTION,Poor_GPS
3.32,15,0.201,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
0.55,19,0.009,0.8825,GPS_OK,Good_GPS
1.62,10,0.234,0.6425,CAUTION,Medium_GPS
2.14,14,0.178,0.5925,CAUTION,Medium_GPS
1.7,19,0.737,0.68,CAUTION,Medium_GPS
3.48,15,0.668,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.22,18,0.041,0.77,CAUTION,Good_GPS
2.39,13,0.434,0.5525,CAUTION,Medium_GPS
2.92,22,0.295,0.675,CAUTION,Poor_GPS
1.43,13,0.436,0.6425,CAUTION,Good_GPS
3.15,21,0.272,0.5625,CAUTION,Poor_GPS
0.84,10,0.444,0.71,CAUTION,Good_GPS
3.33,18,0.208,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
0.96,13,0.658,0.66,CAUTION,Good_GPS
2.54,13,0.351,0.5525,CAUTION,Poor_GPS
0.52,19,0.162,0.8825,GPS_OK,Good_GPS
0.52,14,0.172,0.795,CAUTION,Good_GPS
0.95,10,0.387,0.71,CAUTION,Good_GPS
3.15,20,0.383,0.5625,CAUTION,Poor_GPS
2.3,12,0.322,0.5525,CAUTION,Medium_GPS
3.29,6,0.194,0.34,SWITCH_TO_NON_GPS,Poor_GPS
3.45,7,0.095,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.46,9,0.599,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
2.96,14,0.242,0.5525,CAUTION,Poor_GPS
3.04,7,0.734,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.15,18,0.408,0.7975,CAUTION,Good_GPS
3.37,9,0.359,0.37,SWITCH_TO_NON_GPS,Poor_GPS
2.6,10,0.433,0.5525,CAUTION,Poor_GPS
1.42,12,0.167,0.6825,CAUTION,Good_GPS
1.35,9,0.555,0.5225,SWITCH_TO_NON_GPS,Good_GPS
0.89,17,0.052,0.8375,CAUTION,Good_GPS
0.85,11,0.093,0.75,CAUTION,Good_GPS
2.22,6,0.361,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
2.11,10,0.041,0.5925,CAUTION,Medium_GPS
2.34,6,0.325,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
1.06,14,0.146,0.75,CAUTION,Good_GPS
1.82,10,0.49,0.6425,CAUTION,Medium_GPS
1.48,6,0.218,0.5025,SWITCH_TO_NON_GPS,Good_GPS
0.62,14,0.401,0.755,CAUTION,Good_GPS
1.5,8,0.261,0.5725,CAUTION,Medium_GPS
3.04,6,0.572,0.25,SWITCH_TO_NON_GPS,Poor_GPS
2.57,15,0.705,0.59,CAUTION,Poor_GPS
2.63,7,0.012,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.04,12,0.392,0.71,CAUTION,Good_GPS
2.67,8,0.393,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
1.58,14,0.134,0.6825,CAUTION,Medium_GPS
1.21,13,0.379,0.6425,CAUTION,Good_GPS
0.86,13,0.301,0.71,CAUTION,Good_GPS
2.97,8,0.34,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.11,9,0.202,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.61,10,0.123,0.6825,CAUTION,Medium_GPS
2.23,21,0.342,0.675,CAUTION,Medium_GPS
0.51,22,0.214,0.8775,GPS_OK,Excellent_GPS
1.19,19,0.08,0.8375,CAUTION,Good_GPS
3.47,12,0.616,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.82,20,0.696,0.715,CAUTION,Medium_GPS
2.34,13,0.573,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.92,14,0.419,0.6425,CAUTION,Medium_GPS
1.49,19,0.28,0.73,CAUTION,Good_GPS
1.63,14,0.149,0.6825,CAUTION,Medium_GPS
2.17,6,0.736,0.3625,SWITCH_TO_NON_GPS,Medium_GPS
2.75,9,0.368,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
1.5,17,0.554,0.68,CAUTION,Medium_GPS
2.62,11,0.616,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.89,7,0.345,0.5725,CAUTION,Medium_GPS
2.11,10,0.627,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.79,9,0.276,0.5725,CAUTION,Medium_GPS
1.9,22,0.087,0.805,CAUTION,Medium_GPS
2.85,22,0.202,0.675,CAUTION,Poor_GPS
1.11,20,0.433,0.8325,CAUTION,Good_GPS
2.8,16,0.292,0.64,CAUTION,Poor_GPS
0.67,6,0.024,0.655,CAUTION,Good_GPS
2.56,8,0.597,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
1.79,14,0.224,0.6425,CAUTION,Medium_GPS
1.11,18,0.597,0.7475,CAUTION,Good_GPS
0.81,11,0.415,0.71,CAUTION,Good_GPS
2.11,21,0.951,0.625,CAUTION,Medium_GPS
2.91,17,0.54,0.59,CAUTION,Poor_GPS
2.87,6,0.473,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
1.49,7,0.685,0.5225,SWITCH_TO_NON_GPS,Good_GPS
1.82,21,0.479,0.765,CAUTION,Medium_GPS
0.85,11,0.323,0.71,CAUTION,Good_GPS
3.2,10,0.308,0.44,SWITCH_TO_NON_GPS,Poor_GPS
3.35,9,0.541,0.32,SWITCH_TO_NON_GPS,Poor_GPS
0.64,20,0.703,0.8275,CAUTION,Excellent_GPS
3.25,22,0.077,0.6025,CAUTION,Poor_GPS
3.11,10,0.544,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.24,13,0.022,0.6825,CAUTION,Good_GPS
1.92,14,0.282,0.6425,CAUTION,Medium_GPS
1.19,10,0.737,0.66,CAUTION,Good_GPS
0.58,20,0.683,0.8275,CAUTION,Excellent_GPS
1.35,6,0.295,0.5025,SWITCH_TO_NON_GPS,Good_GPS
2.18,18,0.19,0.68,CAUTION,Medium_GPS
2.56,20,0.543,0.625,CAUTION,Poor_GPS
1.99,12,0.016,0.6825,CAUTION,Medium_GPS
0.82,15,0.295,0.7975,CAUTION,Good_GPS
2.68,20,0.683,0.625,CAUTION,Poor_GPS
1.42,19,0.241,0.73,CAUTION,Good_GPS
2.36,15,0.559,0.59,CAUTION,Medium_GPS
0.97,7,0.983,0.59,CAUTION,Good_GPS
2.26,17,0.747,0.59,CAUTION,Medium_GPS
1.17,6,0.19,0.61,CAUTION,Good_GPS
2.99,6,0.171,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
3.45,9,0.748,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.51,19,0.05,0.77,CAUTION,Medium_GPS
2.28,6,0.282,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
1.71,15,0.278,0.73,CAUTION,Medium_GPS
1.99,21,0.34,0.765,CAUTION,Medium_GPS
2.54,17,0.612,0.59,CAUTION,Poor_GPS
3.01,21,0.372,0.5625,CAUTION,Poor_GPS
1.73,7,0.406,0.5725,CAUTION,Medium_GPS
0.6,15,0.407,0.8425,CAUTION,Good_GPS
1.73,18,0.352,0.73,CAUTION,Medium_GPS
2.65,10,0.136,0.5925,CAUTION,Poor_GPS
2.6,8,0.339,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.71,17,0.115,0.68,CAUTION,Poor_GPS
1.01,21,0.427,0.8325,CAUTION,Good_GPS
0.97,11,0.154,0.75,CAUTION,Good_GPS
1.25,14,0.097,0.6825,CAUTION,Good_GPS
2.68,10,0.321,0.5525,CAUTION,Poor_GPS
1.74,12,0.229,0.6425,CAUTION,Medium_GPS
2.46,9,0.04,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
0.64,22,0.334,0.8775,GPS_OK,Excellent_GPS
2.87,7,0.701,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
3.12,20,0.435,0.5625,CAUTION,Poor_GPS
2.03,18,0.365,0.64,CAUTION,Medium_GPS
1.93,11,0.611,0.5925,CAUTION,Medium_GPS
3.19,11,0.594,0.39,SWITCH_TO_NON_GPS,Poor_GPS
3.45,15,0.097,0.5675,CAUTION,Poor_GPS
2.71,19,0.499,0.64,CAUTION,Poor_GPS
1.25,21,0.422,0.765,CAUTION,Good_GPS
3.49,19,0.32,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.38,16,0.36,0.73,CAUTION,Good_GPS
0.57,9,0.812,0.635,CAUTION,Good_GPS
2.09,20,0.003,0.715,CAUTION,Medium_GPS
3.26,15,0.639,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
0.84,14,0.378,0.71,CAUTION,Good_GPS
1.05,22,0.29,0.8325,CAUTION,Good_GPS
3.42,21,0.371,0.5625,CAUTION,Poor_GPS
1.21,10,0.336,0.6425,CAUTION,Good_GPS
2.17,7,0.722,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
2.61,6,0.212,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
3.23,6,0.511,0.25,SWITCH_TO_NON_GPS,Poor_GPS
2.01,21,0.296,0.675,CAUTION,Medium_GPS
3.26,12,0.408,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.15,14,0.319,0.71,CAUTION,Good_GPS
3.27,8,0.06,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.64,13,0.464,0.5525,CAUTION,Poor_GPS
1.82,11,0.622,0.5925,CAUTION,Medium_GPS
2.41,18,0.425,0.64,CAUTION,Medium_GPS
2.09,13,0.306,0.5525,CAUTION,Medium_GPS
1.81,7,0.456,0.5725,CAUTION,Medium_GPS
2.67,16,0.561,0.59,CAUTION,Poor_GPS
0.9,11,0.094,0.75,CAUTION,Good_GPS
1.1,19,0.337,0.7975,CAUTION,Good_GPS
0.51,10,0.444,0.755,CAUTION,Good_GPS
2.82,10,0.313,0.5525,CAUTION,Poor_GPS
1.48,18,0.026,0.77,CAUTION,Good_GPS
1.38,17,0.096,0.77,CAUTION,Good_GPS
2.2,8,0.481,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.68,12,0.41,0.6425,CAUTION,Medium_GPS
0.93,8,0.497,0.64,CAUTION,Good_GPS
2.64,16,0.565,0.59,CAUTION,Poor_GPS
0.78,8,0.128,0.725,CAUTION,Good_GPS
0.94,6,0.377,0.57,CAUTION,Good_GPS
2.48,10,0.047,0.5925,CAUTION,Medium_GPS
3.03,8,0.481,0.37,SWITCH_TO_NON_GPS,Poor_GPS
3.31,15,0.579,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.52,20,0.472,0.765,CAUTION,Medium_GPS
1.73,14,0.148,0.6825,CAUTION,Medium_GPS
0.78,22,1.241,0.7775,CAUTION,Excellent_GPS
1.3,6,0.457,0.5025,SWITCH_TO_NON_GPS,Good_GPS
0.52,17,0.343,0.8425,CAUTION,Good_GPS
3.14,8,0.916,0.32,SWITCH_TO_NON_GPS,Poor_GPS
3.12,12,0.409,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.93,14,0.129,0.5925,CAUTION,Poor_GPS
2.97,8,0.32,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.1,9,0.193,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.11,22,0.059,0.8725,GPS_OK,Good_GPS
0.75,20,0.54,0.8275,CAUTION,Excellent_GPS
2.3,7,0.156,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.2,21,0.65,0.625,CAUTION,Medium_GPS
3.36,21,0.104,0.6025,CAUTION,Poor_GPS
3.03,6,0.275,0.3,SWITCH_TO_NON_GPS,Poor_GPS
2.34,20,0.406,0.675,CAUTION,Medium_GPS
2.95,18,0.007,0.68,CAUTION,Poor_GPS
1.57,16,0.08,0.77,CAUTION,Medium_GPS
2.99,10,0.314,0.5525,CAUTION,Poor_GPS
0.64,10,0.339,0.755,CAUTION,Good_GPS
2.28,7,0.433,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.82,8,0.527,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
3.42,17,0.184,0.5675,CAUTION,Poor_GPS
1.79,12,0.641,0.5925,CAUTION,Medium_GPS
2.97,21,0.514,0.625,CAUTION,Poor_GPS
0.97,14,0.418,0.71,CAUTION,Good_GPS
1.87,12,0.243,0.6425,CAUTION,Medium_GPS
0.84,11,0.142,0.75,CAUTION,Good_GPS
3.3,8,0.582,0.32,SWITCH_TO_NON_GPS,Poor_GPS
2.35,14,0.514,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.16,18,0.267,0.64,CAUTION,Medium_GPS
3.07,12,0.107,0.48,SWITCH_TO_NON_GPS,Poor_GPS
3.34,11,0.021,0.48,SWITCH_TO_NON_GPS,Poor_GPS
2.3,16,0.846,0.59,CAUTION,Medium_GPS
2.18,20,0.442,0.675,CAUTION,Medium_GPS
0.83,6,0.222,0.57,CAUTION,Good_GPS
3.35,6,0.025,0.34,SWITCH_TO_NON_GPS,Poor_GPS
1.39,19,0.144,0.77,CAUTION,Good_GPS
2.31,8,0.415,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.42,16,0.4,0.73,CAUTION,Good_GPS
0.72,8,0.816,0.635,CAUTION,Good_GPS
2.84,11,0.128,0.5925,CAUTION,Poor_GPS
2.09,20,0.369,0.675,CAUTION,Medium_GPS
2.55,15,0.316,0.64,CAUTION,Poor_GPS
0.84,7,0.449,0.64,CAUTION,Good_GPS
1.87,20,0.175,0.805,CAUTION,Medium_GPS
1.79,11,0.226,0.6425,CAUTION,Medium_GPS
3.32,8,0.509,0.32,SWITCH_TO_NON_GPS,Poor_GPS
0.99,17,0.826,0.7475,CAUTION,Good_GPS
0.76,8,0.506,0.635,CAUTION,Good_GPS
1.62,8,0.22,0.5725,CAUTION,Medium_GPS
3.39,22,0.096,0.6025,CAUTION,Poor_GPS
0.66,21,0.62,0.8275,CAUTION,Excellent_GPS
0.94,10,0.235,0.71,CAUTION,Good_GPS
1.14,6,0.311,0.57,CAUTION,Good_GPS
0.59,16,0.023,0.8825,GPS_OK,Good_GPS
0.78,20,0.133,0.9175,GPS_OK,Excellent_GPS
0.92,16,0.125,0.8375,CAUTION,Good_GPS
0.99,12,0.206,0.71,CAUTION,Good_GPS
0.65,14,0.009,0.795,CAUTION,Good_GPS
2.59,15,0.683,0.59,CAUTION,Poor_GPS
3.01,22,0.319,0.5625,CAUTION,Poor_GPS
2.26,15,0.342,0.64,CAUTION,Medium_GPS
1.07,22,0.298,0.8325,CAUTION,Good_GPS
2.23,20,0.415,0.675,CAUTION,Medium_GPS
1.28,11,0.051,0.6825,CAUTION,Good_GPS
3.04,8,0.547,0.32,SWITCH_TO_NON_GPS,Poor_GPS
0.66,14,0.364,0.755,CAUTION,Good_GPS
2.66,15,0.737,0.59,CAUTION,Poor_GPS
0.64,12,0.384,0.755,CAUTION,Good_GPS
1.5,14,0.337,0.6425,CAUTION,Medium_GPS
2.36,14,0.484,0.5525,CAUTION,Medium_GPS
2.73,9,0.319,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.85,18,0.262,0.64,CAUTION,Poor_GPS
3.22,19,0.02,0.5675,CAUTION,Poor_GPS
2.82,21,0.044,0.715,CAUTION,Poor_GPS
1.66,6,0.324,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
3.3,19,0.568,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
0.78,19,0.151,0.8825,GPS_OK,Good_GPS
2.64,9,0.27,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.16,10,0.626,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.49,14,0.297,0.6425,CAUTION,Good_GPS
0.72,19,0.699,0.7925,CAUTION,Good_GPS
1.25,21,0.182,0.805,CAUTION,Good_GPS
3.17,16,0.55,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
2.69,14,0.298,0.5525,CAUTION,Poor_GPS
1.08,17,0.652,0.7475,CAUTION,Good_GPS
0.93,19,0.116,0.8375,CAUTION,Good_GPS
3.15,22,0.375,0.5625,CAUTION,Poor_GPS
2.15,6,0.432,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
1.17,18,0.428,0.7975,CAUTION,Good_GPS
0.95,22,0.235,0.8325,CAUTION,Good_GPS
0.6,10,0.811,0.705,CAUTION,Good_GPS
2.73,13,0.631,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
3.13,12,0.364,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.19,17,0.315,0.7975,CAUTION,Good_GPS
1.63,16,0.985,0.68,CAUTION,Medium_GPS
0.99,11,0.469,0.71,CAUTION,Good_GPS
2.99,6,0.78,0.3625,SWITCH_TO_NON_GPS,Poor_GPS
1.83,21,0.349,0.765,CAUTION,Medium_GPS
2.81,7,0.41,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.16,7,0.006,0.41,SWITCH_TO_NON_GPS,Poor_GPS
1.06,6,0.151,0.61,CAUTION,Good_GPS
0.98,9,0.408,0.64,CAUTION,Good_GPS
2.97,16,0.218,0.64,CAUTION,Poor_GPS
2.71,9,0.053,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.56,19,0.488,0.64,CAUTION,Poor_GPS
3.08,8,0.112,0.41,SWITCH_TO_NON_GPS,Poor_GPS
0.55,10,0.598,0.705,CAUTION,Good_GPS
1.98,15,0.426,0.73,CAUTION,Medium_GPS
1.85,11,0.104,0.6825,CAUTION,Medium_GPS
3.31,6,0.272,0.3,SWITCH_TO_NON_GPS,Poor_GPS
1.59,16,0.218,0.73,CAUTION,Medium_GPS
1.02,14,0.241,0.71,CAUTION,Good_GPS
3.36,6,0.378,0.3,SWITCH_TO_NON_GPS,Poor_GPS
0.69,20,0.095,0.9175,GPS_OK,Excellent_GPS
2.97,17,0.055,0.68,CAUTION,Poor_GPS
2.08,16,0.369,0.64,CAUTION,Medium_GPS
1.7,8,0.296,0.5725,CAUTION,Medium_GPS
1.99,20,0.04,0.805,CAUTION,Medium_GPS
3.21,8,0.696,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.55,19,0.103,0.77,CAUTION,Medium_GPS
3.39,21,0.358,0.5625,CAUTION,Poor_GPS
3.11,11,0.279,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.02,13,0.385,0.5525,CAUTION,Medium_GPS
3.5,11,0.261,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.69,8,0.578,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
1.2,22,0.176,0.805,CAUTION,Good_GPS
1.57,18,0.509,0.68,CAUTION,Medium_GPS
2.66,8,0.2,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.37,13,0.314,0.5525,CAUTION,Medium_GPS
1.11,18,0.302,0.7975,CAUTION,Good_GPS
1.38,7,0.256,0.5725,CAUTION,Good_GPS
1.09,21,0.381,0.8325,CAUTION,Good_GPS
3.01,15,0.363,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
2.52,18,0.155,0.68,CAUTION,Poor_GPS
0.59,17,0.658,0.7925,CAUTION,Good_GPS
2.97,17,0.14,0.68,CAUTION,Poor_GPS
2.69,10,0.734,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
2.11,9,0.048,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.25,13,0.531,0.5925,CAUTION,Good_GPS
1.8,8,0.458,0.5725,CAUTION,Medium_GPS
1.25,14,0.425,0.6425,CAUTION,Good_GPS
1.02,8,0.321,0.64,CAUTION,Good_GPS
2.92,6,0.384,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
1.85,11,0.356,0.6425,CAUTION,Medium_GPS
1.69,21,0.084,0.805,CAUTION,Medium_GPS
2.03,9,0.607,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
0.63,11,0.356,0.755,CAUTION,Good_GPS
3.03,6,0.065,0.34,SWITCH_TO_NON_GPS,Poor_GPS
3.16,6,0.56,0.25,SWITCH_TO_NON_GPS,Poor_GPS
2.56,8,0.054,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.7,7,0.294,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.34,8,0.087,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.11,12,0.026,0.5925,CAUTION,Medium_GPS
0.97,8,0.265,0.64,CAUTION,Good_GPS
2.61,7,0.385,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.63,16,0.216,0.64,CAUTION,Poor_GPS
1.51,11,0.666,0.5925,CAUTION,Medium_GPS
2.2,14,0.378,0.5525,CAUTION,Medium_GPS
2.48,14,0.199,0.5925,CAUTION,Medium_GPS
2.28,22,0.349,0.675,CAUTION,Medium_GPS
2.51,20,0.624,0.625,CAUTION,Poor_GPS
1.29,6,0.197,0.5425,SWITCH_TO_NON_GPS,Good_GPS
2.53,10,0.535,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.4,19,0.386,0.73,CAUTION,Good_GPS
2.08,13,0.038,0.5925,CAUTION,Medium_GPS
1.3,19,0.311,0.73,CAUTION,Good_GPS
0.95,6,0.033,0.61,CAUTION,Good_GPS
0.69,22,0.126,0.9175,GPS_OK,Excellent_GPS
1.69,14,0.408,0.6425,CAUTION,Medium_GPS
1.36,14,0.493,0.6425,CAUTION,Good_GPS
1.68,14,0.428,0.6425,CAUTION,Medium_GPS
2.05,20,0.561,0.625,CAUTION,Medium_GPS
1.88,7,0.729,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.46,6,0.24,0.5025,SWITCH_TO_NON_GPS,Good_GPS
3.01,21,0.222,0.5625,CAUTION,Poor_GPS
1.19,9,0.51,0.59,CAUTION,Good_GPS
1.11,7,0.158,0.68,CAUTION,Good_GPS
3.3,18,0.11,0.5675,CAUTION,Poor_GPS
1.36,9,0.156,0.6125,CAUTION,Good_GPS
2.65,22,0.0,0.715,CAUTION,Poor_GPS
2.73,22,0.328,0.675,CAUTION,Poor_GPS
3.14,9,0.383,0.37,SWITCH_TO_NON_GPS,Poor_GPS
2.66,20,0.152,0.715,CAUTION,Poor_GPS
1.21,9,0.087,0.6125,CAUTION,Good_GPS
3.38,9,0.515,0.32,SWITCH_TO_NON_GPS,Poor_GPS
2.06,18,0.552,0.59,CAUTION,Medium_GPS
3.11,8,0.176,0.41,SWITCH_TO_NON_GPS,Poor_GPS
1.44,18,0.408,0.73,CAUTION,Good_GPS
0.7,22,0.376,0.8775,GPS_OK,Excellent_GPS
2.34,15,0.537,0.59,CAUTION,Medium_GPS
2.82,20,0.595,0.625,CAUTION,Poor_GPS
2.22,7,0.262,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
2.5,18,0.031,0.68,CAUTION,Poor_GPS
1.28,14,0.158,0.6825,CAUTION,Good_GPS
1.0,9,0.151,0.68,CAUTION,Good_GPS
0.52,12,0.024,0.795,CAUTION,Good_GPS
1.05,7,0.343,0.64,CAUTION,Good_GPS
1.15,7,0.189,0.68,CAUTION,Good_GPS
0.72,9,0.474,0.685,CAUTION,Good_GPS
0.52,19,0.059,0.8825,GPS_OK,Good_GPS
3.45,20,0.334,0.5625,CAUTION,Poor_GPS
3.4,17,0.139,0.5675,CAUTION,Poor_GPS
